ID,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,COUNTRY,REGION,CAUSE,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DEATHS_TOTAL_DESCRIPTION,DAMAGE_TOTAL_DESCRIPTION,LOCATION_NAME
3168,2007,8.0,15.0,-13.386,-76.60300000000001,PERU,West Coast of South America,Earthquake,8.0,39.0,0.0,Many (~101 to 1000 people),Extreme (~$25 million or more),S. PERU
3308,1934,11.0,30.0,18.5,-105.5,MEXICO,West Coast of North and Central America,Earthquake,7.0,5.0,0.0,,,MEXICO
3310,1951,10.0,22.0,23.8,121.7,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,7.3,21.0,0.0,Some (~51 to 100 people),Severe (~>$5 to $24 million),TAIWAN
3349,1967,7.0,29.0,10.6,-67.3,VENEZUELA,Caribbean Sea,Earthquake,6.5,10.0,0.0,Many (~101 to 1000 people),Extreme (~$25 million or more),CARACAS
3297,1968,9.0,3.0,41.8,32.3,TURKEY,Black Sea and Caspian Sea,Earthquake,6.6,38.0,0.0,Few (~1 to 50 people),Severe (~>$5 to $24 million),BLACK SEA
3226,1973,3.0,17.0,13.4,122.8,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,7.5,33.0,0.0,Few (~1 to 50 people),Limited (<$1 million),QUEZON
3228,2007,9.0,12.0,-4.438,101.367,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,8.4,34.0,0.0,Few (~1 to 50 people),Severe (~>$5 to $24 million),SUMATRA
3248,2007,9.0,30.0,-49.418,163.954,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,7.4,10.0,0.0,,,AUCKLAND ISLANDS
3293,2007,11.0,14.0,-22.247,-69.89,CHILE,West Coast of South America,Earthquake,7.7,40.0,0.0,Few (~1 to 50 people),Severe (~>$5 to $24 million),NORTHERN CHILE
3309,1970,3.0,11.0,57.5,-153.9,USA,Alaska (including Aleutian Islands),Earthquake,6.0,29.0,0.0,,Limited (<$1 million),"ANDREANOF ISLANDS, AK"
3229,1999,9.0,13.0,-10.52,-138.67,FRENCH POLYNESIA,"E Coast Australia, New Zealand, South Pacific Is.",Landslide,0.0,,0.0,,Limited (<$1 million),FATU HIVA
3350,1969,4.0,12.0,59.4,13.5,SWEDEN,Northeast Atlantic Ocean,Landslide,0.0,,0.0,,,NORSALV RIVER
3348,2007,12.0,4.0,49.475,-121.847,CANADA,West Coast of North and Central America,Landslide,0.0,,0.0,,Limited (<$1 million),"CHEHALIS LAKE, CHILLIWACK"
3499,1905,1.0,20.0,39.66,22.83,GREECE,Mediterranean Sea,Earthquake,6.3,,0.0,,,AEGEAN SEA
3501,1912,1.0,24.0,38.12,20.67,GREECE,Mediterranean Sea,Earthquake,6.8,,0.0,,,IONIAN SEA
3503,1922,8.0,8.0,37.5,23.2,GREECE,Mediterranean Sea,Earthquake,5.6,,0.0,,,AEGEAN SEA
3504,1926,8.0,30.0,36.5,23.3,GREECE,Mediterranean Sea,Earthquake,7.2,,0.0,,,ARGOLIKOS GULF
3395,1954,2.0,,38.789,15.213,ITALY,Mediterranean Sea,Volcano,0.0,,4.0,,,STROMBOLI ISLAND
3502,1915,1.0,27.0,38.4,20.6,GREECE,Mediterranean Sea,Earthquake,6.6,,0.0,,,IONIAN SEA
3413,1906,4.0,4.0,40.821,14.425999999999998,ITALY,Mediterranean Sea,Volcano,0.0,,3.0,,,TYRRHENIAN SEA
3412,1905,,,37.3,9.9,TUNISIA,Mediterranean Sea,Earthquake,0.0,,3.0,,,BALEARIC SEA
3509,2000,7.0,30.0,33.901,139.376,JAPAN,Japan,Earthquake,6.5,10.0,0.0,,Limited (<$1 million),HONSHU: S COAST
